userId,userName,sessionId,action,timestamp
1,Shannon Schaefer,10001,LOGIN,2024-05-11T07:04:16.239Z
1,Shannon Schaefer,10001,VIEW_PRODUCT_LIST,2024-05-11T07:13:21.167Z
1,Shannon Schaefer,10001,UPDATE_CART,2024-05-11T07:05:48.643Z
1,Shannon Schaefer,10001,ADD_PRODUCT_TO_CART,2024-05-11T07:08:24.398Z
1,Shannon Schaefer,10001,VIEW_PRODUCT_LIST,2024-05-11T07:07:16.754Z
1,Shannon Schaefer,10001,VIEW_PRODUCT_DETAILS,2024-05-11T07:07:56.993Z
1,Shannon Schaefer,10001,VIEW_PRODUCT_LIST,2024-05-11T07:17:31.571Z
1,Shannon Schaefer,10001,VIEW_PRODUCT_LIST,2024-05-11T07:15:11.049Z
1,Shannon Schaefer,10001,ADD_PRODUCT_TO_CART,2024-05-11T07:10:47.183Z
1,Shannon Schaefer,10001,VIEW_PRODUCT_DETAILS,2024-05-11T07:11:53.006Z
1,Shannon Schaefer,10001,VIEW_PRODUCT_DETAILS,2024-05-11T07:17:59.616Z
1,Shannon Schaefer,10001,VIEW_PRODUCT_DETAILS,2024-05-11T07:19:15.721Z
1,Shannon Schaefer,10001,UPDATE_CART,2024-05-11T07:15:04.618Z
1,Shannon Schaefer,10001,VIEW_PRODUCT_LIST,2024-05-11T07:08:50.971Z
1,Shannon Schaefer,10001,LOGOUT,2024-05-11T07:19:16.239Z
2,Urban Hane,10002,LOGIN,2024-05-11T07:04:16.239Z
2,Urban Hane,10002,VIEW_PRODUCT_LIST,2024-05-11T07:13:13.839Z
2,Urban Hane,10002,VIEW_PRODUCT_LIST,2024-05-11T07:13:15.077Z
2,Urban Hane,10002,VIEW_PRODUCT_DETAILS,2024-05-11T07:07:10.252Z
2,Urban Hane,10002,ADD_PRODUCT_TO_CART,2024-05-11T07:05:25.732Z
2,Urban Hane,10002,VIEW_PRODUCT_LIST,2024-05-11T07:09:40.282Z
2,Urban Hane,10002,VIEW_PRODUCT_DETAILS,2024-05-11T07:15:52.581Z
2,Urban Hane,10002,REMOVE_PRODUCT_FROM_CART,2024-05-11T07:07:20.863Z
2,Urban Hane,10002,VIEW_PRODUCT_DETAILS,2024-05-11T07:17:16.966Z
2,Urban Hane,10002,VIEW_PRODUCT_LIST,2024-05-11T07:04:29.445Z
2,Urban Hane,10002,VIEW_PRODUCT_LIST,2024-05-11T07:04:17.703Z
2,Urban Hane,10002,VIEW_CART,2024-05-11T07:13:05.321Z
2,Urban Hane,10002,ADD_PRODUCT_TO_CART,2024-05-11T07:07:57.091Z
2,Urban Hane,10002,VIEW_PRODUCT_DETAILS,2024-05-11T07:15:07.604Z
2,Urban Hane,10002,VIEW_PRODUCT_DETAILS,2024-05-11T07:12:10.541Z
2,Urban Hane,10002,LOGOUT,2024-05-11T07:19:16.239Z
3,Hettie Veum,10003,LOGIN,2024-05-11T07:04:16.239Z
3,Hettie Veum,10003,VIEW_PRODUCT_DETAILS,2024-05-11T07:18:14.930Z
3,Hettie Veum,10003,VIEW_PRODUCT_DETAILS,2024-05-11T07:06:41.255Z
3,Hettie Veum,10003,LOGOUT,2024-05-11T07:19:16.239Z
4,Freddie Bode,10004,LOGIN,2024-05-11T07:04:16.239Z
4,Freddie Bode,10004,VIEW_PRODUCT_LIST,2024-05-11T07:11:29.809Z
4,Freddie Bode,10004,VIEW_CART,2024-05-11T07:09:44.625Z
4,Freddie Bode,10004,ADD_PRODUCT_TO_CART,2024-05-11T07:06:30.735Z
4,Freddie Bode,10004,VIEW_PRODUCT_DETAILS,2024-05-11T07:09:17.900Z
4,Freddie Bode,10004,VIEW_PRODUCT_DETAILS,2024-05-11T07:18:19.996Z
4,Freddie Bode,10004,VIEW_PRODUCT_DETAILS,2024-05-11T07:05:26.671Z
4,Freddie Bode,10004,VIEW_PRODUCT_LIST,2024-05-11T07:16:14.518Z
4,Freddie Bode,10004,VIEW_PRODUCT_LIST,2024-05-11T07:15:59.088Z
4,Freddie Bode,10004,CHECKOUT,2024-05-11T07:15:34.824Z
4,Freddie Bode,10004,VIEW_PRODUCT_LIST,2024-05-11T07:17:23.675Z
4,Freddie Bode,10004,VIEW_PRODUCT_DETAILS,2024-05-11T07:05:35.112Z
4,Freddie Bode,10004,VIEW_CART,2024-05-11T07:05:11.510Z
4,Freddie Bode,10004,VIEW_PRODUCT_DETAILS,2024-05-11T07:05:59.531Z
4,Freddie Bode,10004,LOGOUT,2024-05-11T07:19:16.239Z
5,Tania Prohaska,10005,LOGIN,2024-05-11T07:04:16.240Z
5,Tania Prohaska,10005,ADD_PRODUCT_TO_CART,2024-05-11T07:18:38.656Z
5,Tania Prohaska,10005,CHECKOUT,2024-05-11T07:19:15.183Z
5,Tania Prohaska,10005,VIEW_PRODUCT_LIST,2024-05-11T07:14:40.069Z
5,Tania Prohaska,10005,UPDATE_CART,2024-05-11T07:16:25.943Z
5,Tania Prohaska,10005,VIEW_PRODUCT_DETAILS,2024-05-11T07:15:42.127Z
5,Tania Prohaska,10005,ADD_PRODUCT_TO_CART,2024-05-11T07:06:41.633Z
5,Tania Prohaska,10005,VIEW_PRODUCT_LIST,2024-05-11T07:15:37.066Z
5,Tania Prohaska,10005,LOGOUT,2024-05-11T07:19:16.240Z
6,Destiny Rutherford,10006,LOGIN,2024-05-11T07:04:16.240Z
6,Destiny Rutherford,10006,VIEW_PRODUCT_DETAILS,2024-05-11T07:09:52.798Z
6,Destiny Rutherford,10006,ADD_PRODUCT_TO_CART,2024-05-11T07:07:51.285Z
6,Destiny Rutherford,10006,VIEW_CART,2024-05-11T07:08:13.400Z
6,Destiny Rutherford,10006,ADD_PRODUCT_TO_CART,2024-05-11T07:16:29.595Z
6,Destiny Rutherford,10006,ADD_PRODUCT_TO_CART,2024-05-11T07:07:48.897Z
6,Destiny Rutherford,10006,VIEW_PRODUCT_LIST,2024-05-11T07:05:36.269Z
6,Destiny Rutherford,10006,VIEW_CART,2024-05-11T07:11:12.963Z
6,Destiny Rutherford,10006,VIEW_PRODUCT_LIST,2024-05-11T07:18:13.801Z
6,Destiny Rutherford,10006,VIEW_PRODUCT_LIST,2024-05-11T07:09:55.826Z
6,Destiny Rutherford,10006,VIEW_PRODUCT_LIST,2024-05-11T07:10:38.576Z
6,Destiny Rutherford,10006,VIEW_PRODUCT_DETAILS,2024-05-11T07:16:10.485Z
6,Destiny Rutherford,10006,LOGOUT,2024-05-11T07:19:16.240Z
7,Effie Schaefer,10007,LOGIN,2024-05-11T07:04:16.240Z
7,Effie Schaefer,10007,ADD_PRODUCT_TO_CART,2024-05-11T07:13:02.001Z
7,Effie Schaefer,10007,VIEW_PRODUCT_LIST,2024-05-11T07:16:06.839Z
7,Effie Schaefer,10007,VIEW_PRODUCT_DETAILS,2024-05-11T07:06:56.535Z
7,Effie Schaefer,10007,VIEW_PRODUCT_DETAILS,2024-05-11T07:18:37.057Z
7,Effie Schaefer,10007,VIEW_PRODUCT_DETAILS,2024-05-11T07:12:57.028Z
7,Effie Schaefer,10007,VIEW_PRODUCT_LIST,2024-05-11T07:06:04.380Z
7,Effie Schaefer,10007,ADD_PRODUCT_TO_CART,2024-05-11T07:15:39.362Z
7,Effie Schaefer,10007,VIEW_CART,2024-05-11T07:19:09.831Z
7,Effie Schaefer,10007,VIEW_PRODUCT_DETAILS,2024-05-11T07:06:48.282Z
7,Effie Schaefer,10007,ADD_PRODUCT_TO_CART,2024-05-11T07:05:12.824Z
7,Effie Schaefer,10007,LOGOUT,2024-05-11T07:19:16.240Z
8,Nickolas Wuckert,10008,LOGIN,2024-05-11T07:04:16.240Z
8,Nickolas Wuckert,10008,VIEW_PRODUCT_DETAILS,2024-05-11T07:16:22.242Z
8,Nickolas Wuckert,10008,UPDATE_CART,2024-05-11T07:13:47.627Z
8,Nickolas Wuckert,10008,VIEW_PRODUCT_LIST,2024-05-11T07:13:00.043Z
8,Nickolas Wuckert,10008,VIEW_PRODUCT_LIST,2024-05-11T07:11:04.352Z
8,Nickolas Wuckert,10008,VIEW_PRODUCT_DETAILS,2024-05-11T07:13:46.389Z
8,Nickolas Wuckert,10008,CHECKOUT,2024-05-11T07:08:49.286Z
8,Nickolas Wuckert,10008,VIEW_PRODUCT_LIST,2024-05-11T07:12:56.654Z
8,Nickolas Wuckert,10008,UPDATE_CART,2024-05-11T07:06:20.747Z
8,Nickolas Wuckert,10008,VIEW_CART,2024-05-11T07:16:21.699Z
8,Nickolas Wuckert,10008,UPDATE_CART,2024-05-11T07:16:16.786Z
8,Nickolas Wuckert,10008,VIEW_PRODUCT_LIST,2024-05-11T07:05:30.675Z
8,Nickolas Wuckert,10008,VIEW_PRODUCT_LIST,2024-05-11T07:11:06.710Z
8,Nickolas Wuckert,10008,VIEW_PRODUCT_LIST,2024-05-11T07:15:29.700Z
8,Nickolas Wuckert,10008,VIEW_CART,2024-05-11T07:08:21.006Z
8,Nickolas Wuckert,10008,VIEW_PRODUCT_LIST,2024-05-11T07:13:53.778Z
8,Nickolas Wuckert,10008,VIEW_PRODUCT_LIST,2024-05-11T07:11:55.092Z
8,Nickolas Wuckert,10008,VIEW_PRODUCT_LIST,2024-05-11T07:08:08.758Z
8,Nickolas Wuckert,10008,VIEW_PRODUCT_DETAILS,2024-05-11T07:17:02.559Z
8,Nickolas Wuckert,10008,LOGOUT,2024-05-11T07:19:16.240Z
9,Floy Towne,10009,LOGIN,2024-05-11T07:04:16.240Z
9,Floy Towne,10009,VIEW_PRODUCT_LIST,2024-05-11T07:11:27.805Z
9,Floy Towne,10009,VIEW_PRODUCT_LIST,2024-05-11T07:13:03.503Z
9,Floy Towne,10009,LOGOUT,2024-05-11T07:19:16.240Z
10,Tanner Wiza,10010,LOGIN,2024-05-11T07:04:16.241Z
10,Tanner Wiza,10010,VIEW_CART,2024-05-11T07:18:05.755Z
10,Tanner Wiza,10010,VIEW_PRODUCT_LIST,2024-05-11T07:17:45.096Z
10,Tanner Wiza,10010,VIEW_PRODUCT_LIST,2024-05-11T07:14:12.575Z
10,Tanner Wiza,10010,VIEW_PRODUCT_DETAILS,2024-05-11T07:07:27.334Z
10,Tanner Wiza,10010,VIEW_CART,2024-05-11T07:17:29.983Z
10,Tanner Wiza,10010,VIEW_PRODUCT_DETAILS,2024-05-11T07:09:58.434Z
10,Tanner Wiza,10010,VIEW_PRODUCT_DETAILS,2024-05-11T07:17:19.032Z
10,Tanner Wiza,10010,VIEW_CART,2024-05-11T07:05:48.594Z
10,Tanner Wiza,10010,VIEW_CART,2024-05-11T07:14:30.422Z
10,Tanner Wiza,10010,VIEW_PRODUCT_DETAILS,2024-05-11T07:06:30.813Z
10,Tanner Wiza,10010,VIEW_PRODUCT_LIST,2024-05-11T07:18:44.893Z
10,Tanner Wiza,10010,CHECKOUT,2024-05-11T07:15:36.750Z
10,Tanner Wiza,10010,VIEW_PRODUCT_LIST,2024-05-11T07:16:42.659Z
